asi_codigo,asi_nombre,asi_creditos
2016025,Auditoría financiera I,4
2016026,Auditoría financiera II,4
1000004-B,Cálculo diferencial,4
2016201,Contabilidad de Consolidación de Sociedades,3
2016204,Contabilidad de Gestión Avanzada,4
2016114,Contabilidad de inversiones y financiación,3
2016113,Contabilidad de operaciones,3
2016202,Contabilidad Proceso Contable,3
2016203,Contablilidad Pública,3
2016115,Control interno,3
2016117,Derecho comercial general y sociedades,3
2015446,Derecho constitucional colombiano,3
2015422,Derecho Constitucional Económico,2
2016116,Derecho de las relaciones laborales,3
2015347,Derecho Económico,2
2015394,Derecho Tributario,2
2016028,"Diseño, gestión y evaluación de proyectos",4
2016002,Econometría I,4
2016003,Econometría II,4
2016005,Economía política I,4
2016196,Español y comunicación,3
2016036,Estrategia,4
2016207,Ética y Reglamentación Profesional Contable,3
2016037,Finanzas avanzadas,4
2016208,Finanzas y Presupuesto Público,3
2016007,Fundamentos de administración,4
2016038,Fundamentos de contabilidad de gestión,4
2016008,Fundamentos de contabilidad financiera,4
2015270,Fundamentos de economía,3
2016039,Fundamentos de finanzas,4
2016121,Gestión de las operaciones y la producción I,4
2016009,Historia del pensamiento económico,4
2016011,Historia económica general,4
1000016-B,Inferencia estadística fundamental,3
1000044-B,Inglés I- Semestral,3
1000045-B,Inglés II - Semestral,3
1000049-B,Inglés II - Virtual,3
1000046-B,Inglés III - Semestral,3
1000050-B,Inglés III- Virtual,3
1000052-B,Inglés Intensivo I y II,6
1000053-B,Inglés Intensivo III y IV,6
1000047-B,Inglés IV- Semestral,3
1000051-B,Inglés IV- Virtual,3
2016042,Internacionalización de la empresa,4
1000002-B,Lecto-Escritura,4
2016013,Macroeconomía II,4
2016012,Macroeconomía I,4
1000001-B,Matemáticas Básicas,4
2016015,Metodología de la investigación I,2
2016016,Metodología de la investigación II,3
2016125,Métodos Cuantitativos,4
2016017,Microeconomía I,4
2016018,Microeconomía II,4
2016020,Modelación dinámica,4
2016021,Modelación estática,4
2016022,Política Macroeconómica,4
1000015-B,Probabilidad fundamental,3
1000013-B,Probabilidad y estadística fundamental,3
2016127,Problemas económicos colombianos,4
2005858,Regimen tributario,3
2016224,Regulación y Contabilidad Tributaria I,4
2016226,Regulación y Contabilidad Tributaria II,4
2016213,Responsablilidad Social Empresarial,3
2016214,Revisoría Fiscal,3
2016215,Sistemas de Información,3
2015364,Teoría Constitucional,3
2016217,Teoría de la Contabilidad I,4
2016218,Teoría de la Contabilidad II,4
2016056,Teoría de la decisión,4
2016129,Teoría de la organización,4
2016023,Teoría moderna de la firma,4
2015308,Trabajo de Grado,6
2015309,Trabajo de Grado - Asignaturas de Posgrado,6
2024653,Alternativas al desarrollo,3
2024569,Aplicaciones empíricas de la teoría del consumidor,3
2016025,Auditoría financiera I,4
2016026,Auditoría financiera II,4
1000004-B,Cálculo diferencial,4
2024577,DESARROLLO ECONOMIA Y LIBERTAD,3
2016001,Desarrollo Económico,4
2016028,"Diseño, gestión y evaluación de proyectos",4
2024564,ECONOMETRIA FINANCIERA,3
2016002,Econometría I,4
2016003,Econometría II,4
2016004,Economía Colombiana,4
2018392,Economia del conocimiento o nueva economia,3
2016005,Economía política I,4
2016006,Economía política ii,4
2024567,"ECONOMIA, POLITICA Y CONFLICTO",3
2016034,Economía y política social,3
2016036,Estrategia,4
2016037,Finanzas avanzadas,4
2016007,Fundamentos de administración,4
2016038,Fundamentos de contabilidad de gestión,4
2016008,Fundamentos de contabilidad financiera,4
2015270,Fundamentos de economía,3
2016039,Fundamentos de finanzas,4
2016040,Gestión y Política Pública,3
2024267,GLOBALIZACIÓN E INTEGRACIÓN CON ÉNFASIS EN ASIA PACIFICO,3
2016009,Historia del pensamiento económico,4
2016010,Historia Económica de Colombia Siglos XIX y XX,4
2016011,Historia económica general,4
1000044-B,Inglés I- Semestral,3
1000045-B,Inglés II - Semestral,3
1000049-B,Inglés II - Virtual,3
1000046-B,Inglés III - Semestral,3
1000050-B,Inglés III- Virtual,3
1000052-B,Inglés Intensivo I y II,6
1000053-B,Inglés Intensivo III y IV,6
1000047-B,Inglés IV- Semestral,3
1000051-B,Inglés IV- Virtual,3
2016042,Internacionalización de la empresa,4
2024574,INTERNACIONALIZACION Y CAMBIO ESTRUCTURAL,3
1000002-B,Lecto-Escritura,4
2016013,Macroeconomía II,4
2016012,Macroeconomía I,4
2016014,Macroeconomía III,4
1000001-B,Matemáticas Básicas,4
2016043,Matemáticas Financieras,4
2016046,Mercados I,4
2016015,Metodología de la investigación I,2
2016016,Metodología de la investigación II,3
2016019,Microeconomía III,4
2016017,Microeconomía I,4
2016018,Microeconomía II,4
2016020,Modelación dinámica,4
2016021,Modelación estática,4
2016048,Nueva economía política,3
2024573,"OCUPACION, EMPLEO Y SEGURIDAD SOCIAL",3
2016022,Política Macroeconómica,4
1000015-B,Probabilidad fundamental,3
1000013-B,Probabilidad y estadística fundamental,3
2024565,REGULACION Y MERCADOS,3
2016051,Seminario de historia económica de Colombia,3
2016052,Sistema monetario y crisis financiera internacional,3
2016053,Sistemas de Información Gerencial,4
2016056,Teoría de la decisión,4
2016023,Teoría moderna de la firma,4
2016024,Teorías del Comercio Internacional,4
2016055,Tópicos de econometría I,3
2016054,Tópicos de econometría II,3
2015300,Trabajo de Grado,6
2015301,Trabajo de Grado - Asignaturas de Posgrado,6
2017352,Antropología Aplicada y del Desarrollo,3
2017353,Antropología en Colombia,3
2017354,Antropología Histórica I,3
2017355,Antropología Histórica II,3
2017356,Arqueología y Sociedad,3
2017357,Arqueologías Americanas,3
2015229,Colombia Contemporánea,3
2015980,Comunicación y Cultura,3
2017358,Diseño de Proyecto en Antropología Biológica,5
2017359,Diseño de Proyecto en Antropología Lingüística,5
2017360,Diseño de Proyecto en Antropología Social,5
2022299,Ecología y Evolución,3
2015996,Etnografía del Habla,3
2017363,Etnolingüística,3
2017364,Etnología en Colombia,3
2017365,Etnología Regional,3
2017366,Fundamentos de antropología,3
2015271,Fundamentos de las ciencias sociales,3
2022300,Historia Sociocultural de Colombia,3
2017367,Hominización,3
1000044-B,Inglés I- Semestral,3
1000045-B,Inglés II - Semestral,3
1000049-B,Inglés II - Virtual,3
1000046-B,Inglés III - Semestral,3
1000050-B,Inglés III- Virtual,3
1000052-B,Inglés Intensivo I y II,6
1000053-B,Inglés Intensivo III y IV,6
1000047-B,Inglés IV- Semestral,3
1000051-B,Inglés IV- Virtual,3
2017368,Introducción a la Antropología Lingüística,3
2017369,Laboratorio en Antropología Social,10
2017373,Laboratorio en Arqueología,10
1000002-B,Lecto-Escritura,4
2016081,Palabra e imagen,3
2015992,Panorama Lingüístico Colombiano,3
2017377,Pensamiento antropológico I,3
2017374,Pensamiento antropológico II,3
2017375,Pensamiento arqueológico I,3
2017376,Pensamiento arqueológico II,3
2017378,Seminario del Departamento,3
2015998,Sociolinguística,3
2017379,Técnicas de investigación en antropología I,3
2017380,Técnicas de investigación en antropología II,4
2017381,Teoría Social,3
2017382,Trabajo de Grado,10
2017383,Trabajo de Grado - Asignaturas de Posgrado,10
1000044-B,Inglés I- Semestral,3
1000045-B,Inglés II - Semestral,3
1000049-B,Inglés II - Virtual,3
1000046-B,Inglés III - Semestral,3
1000050-B,Inglés III- Virtual,3
1000052-B,Inglés Intensivo I y II,6
1000053-B,Inglés Intensivo III y IV,6
1000047-B,Inglés IV- Semestral,3
1000051-B,Inglés IV- Virtual,3
2017555,CFA Filosofía helenística I,3
2017565,CFA Presocráticos,3
2017550,Curso de filosofía antigua,3
2015452,Didáctica de la lengua española,3
2015453,Didáctica de las lenguas clásicas,3
2015488,Épica griega,3
2015997,Filosofía del lenguaje,3
2015455,Fonética y fonología española,3
2015457,Griego básico I,4
2015458,Griego básico II,4
2015927,Historia antigua: Grecia y Roma,3
2015459,Historia de la lengua española,3
1000044-B,Inglés I- Semestral,3
1000045-B,Inglés II - Semestral,3
2023925,Inglés II- Intensivo,3
1000046-B,Inglés III - Semestral,3
1000050-B,Inglés III- Virtual,3
2023926,Inglés III-Intensivo,3
1000052-B,Inglés Intensivo I y II,6
1000053-B,Inglés Intensivo III y IV,6
2023927,Inglés IV- intensivo,3
1000047-B,Inglés IV- Semestral,3
1000051-B,Inglés IV- Virtual,3
2015461,Introducción a la Filología Clásica,3
2015460,Introducción a la Literatura,3
2015462,Latín básico I,4
2015463,Latín básico II,4
1000002-B,Lecto-Escritura,4
2015466,Lingüística general,3
2015465,Lingüística histórica,3
2015467,Lírica latina,3
2017410,Literatura colombiana del siglo XIX,3
2017411,Literatura colombiana del siglo XX,3
2015930,Literatura española de los siglos XIX y XX,3
2015470,Literatura y cultura clásica,3
2015933,Literaturas latinoamericanas del siglo XX,3
2015989,Métodos cualitativos,3
2015990,Métodos cuantitativos,3
2015474,Morfosintaxis española,3
2015473,Morfosintaxis general,3
2015475,Práctica docente,5
2015476,Pragmática,3
2015491,Prosa griega,3
2015477,Prosa latina,3
2015478,Proyectos pedagógicos,3
2015479,Psicolingüística,3
2015979,Análisis del discurso I,3
2017386,César Vallejo,3
2025854,Curso monográfico de autor africano,3
2025855,Curso monográfico de autor argentino,3
2025857,Curso monográfico de autor brasilero,3
2025860,Curso monográfico de autor chileno,3
2025863,Curso monográfico de autor clásico latino,3
2025864,Curso monográfico de autor colombiano (contemporáneo),3
2025866,Curso monográfico de autor colombiano (primera mitad del siglo XX),3
2025867,Curso monográfico de autor colombiano (segunda mitad del siglo XX),3
2025868,Curso monográfico de autor colombiano (siglo XIX),3
2025870,Curso monográfico de autor colombiano (siglo XX),3
2025873,Curso monográfico de autor cubano,3
2025878,Curso monográfico de autor del Caribe,3
2025881,Curso monográfico de autor en lengua alemana (siglo XX),3
2025882,Curso monográfico de autor en lengua francesa,3
2025883,Curso monográfico de autor en lengua inglesa,3
2025884,Curso monográfico de autor en lengua portuguesa (siglo XIX),3
2025886,Curso monográfico de autor español,3
2025889,Curso monográfico de autor italiano,3
2025891,Curso monográfico de autor latinoamericano,3
2025892,Curso monográfico de autor mexicano,3
2025893,Curso monográfico de autor norteamericano,3
2025894,Curso monográfico de autor norteamericano (contemporáneo),3
2025896,Curso monográfico de autor peruano,3
2025897,Curso monográfico de autor ruso,3
2025898,Curso monográfico de autor turco,3
2017426,Dramaturgia I,5
2017427,Dramaturgia II,5
2025901,El cuento contemporáneo,3
2025906,El ensayo como forma,3
2025907,El estudio de los géneros literarios,3
2017428,Escrituras dramáticas en el teatro latinoamericano I,5
2017429,Escrituras dramáticas en el teatro latinoamericano II,5
2025447,Esquilo,3
2025448,Eurípides,3
2025450,Fernando Vallejo,3
2017390,Franz Kafka,3
2017484,Fundamentos de Psicoanálisis,3
2015623,Historia de Colombia I,3
2015624,Historia de Colombia II,3
2015625,Historia de Colombia III,3
2017393,Historia latinoamericana I,3
2017394,Historia latinoamericana II,3
2017395,Historia latinoamericana III,3
2017396,Historia mundial I,3
2017397,Historia mundial II,3
2017398,Historia mundial III,3
2025451,Homero,3
1000044-B,Inglés I- Semestral,3
1000045-B,Inglés II - Semestral,3
1000049-B,Inglés II - Virtual,3
1000046-B,Inglés III - Semestral,3
1000050-B,Inglés III- Virtual,3
1000052-B,Inglés Intensivo I y II,6
1000053-B,Inglés Intensivo III y IV,6
1000047-B,Inglés IV- Semestral,3
1000051-B,Inglés IV- Virtual,3
2016383,Introducción a la literatura,3
2017467,Introducción a las teorías literarias,3
2017399,Introducción a los estudios culturales,3
2017400,James Joyce,3
2017402,Jorge Luis Borges,3
2017403,José Leza Lima,3
2017406,Julio Cortázar,3
2025909,La literatura comparada,3
2025911,La poesía moderna,3
2025912,La poética de la novela,3
1000002-B,Lecto-Escritura,4
2025914,Literatura africana,3
2017408,Literatura artúrica,3
2025918,Literatura brasileña,3
2017412,Literatura clásica griega y latina,3
2017410,Literatura colombiana del siglo XIX,3
2017411,Literatura colombiana del siglo XX,3
2017409,"Literatura colombiana precolombina, de la Conquista y la Colonia",3
2025922,Literatura cubana,3
2025923,Literatura de Oriente,3
2025925,Literatura e historia,3
2017434,Literatura e historia I,5
2017435,Literatura e historia II,5
2025927,Literatura española,3
2015929,Literatura española de los Siglos de Oro,3
2015930,Literatura española de los siglos XIX y XX,3
2015928,Literatura española medieval,3
2025928,Literatura europea,3
2025930,Literatura inglesa,3
2025931,Literatura italiana,3
2017407,Literatura latinoamericana contemporánea,3
2025933,Literatura norteamericana,3
2025936,Literatura portuguesa,3
2025937,Literatura rusa,3
2025941,Literatura y artes plásticas,3
2025942,Literatura y artes vivas,3
2017440,Literatura y educación I,5
2017441,Literatura y educación II,5
2025943,Literatura y filosofía,3
2017468,Literatura y lenguaje (Problemas de teoría literaria),3
2025946,Literatura y oralidad,3
2017442,Literatura y pensamiento latinoamericano I,5
2017469,Literatura y sociedad (Problemas de teoría lteraria),3
2025947,Literatura y traducción,3
2017418,Literaturas contemporáneas,3
2017414,Literaturas europeas de la Edad Media y el Renacimiento,3
2017415,Literaturas europeas de los Siglos XVII y XVIII,3
2017416,Literaturas europeas del siglo XIX,3
2017417,Literaturas europeas del siglo XX,3
2015932,Literaturas latinoamericanas del siglo XIX,3
2015933,Literaturas latinoamericanas del siglo XX,3
2015931,"Literaturas latinoamericanas precolombinas, de la Conquista y la Colonia",3
2025470,Literaturas y lenguajes multi-e intermediales I,5
2025471,Literaturas y lenguajes multi-e intermediales II,5
2025456,Marcel Proust,3
2017421,Miguel de Cervantes,3
2017422,Mijail Bulgakov,3
2025951,Novelistas del siglo XX,3
2025457,Octavio Paz,3
2025472,Pasantía en escrituras creativas I,3
2025473,Pasantía en escrituras creativas II,3
2025058,Pasantía en investigación de archivo I,3
2025458,Pasantía en investigación de archivo II,3
2025955,Pasantía en procesos editoriales I,3
2025956,Pasantía en procesos editoriales II,3
2026447,Pasantía en promoción de la lectura I,3
2026448,Pasantía en promoción de la lectura II,3
2017455,Poesia y filosofia en el pensamiento griego I,5
2017456,Poesía y filosofía en el pensamiento griego II,5
2025475,Poéticas y escrituras I,5
2025476,Poéticas y escrituras II,5
2025953,Problemas de historia literaria,3
2017457,Problemas de Historia Literaria I,5
2017458,Problemas de Historia Literaria II,5
2025954,Problemas de teoría literaria,3
2017424,Propedéutica,4
2017425,Roberto Arlt,3
2017463,Romanticismo europeo I,5
2017464,Romanticismo europeo II,5
2026449,Seminario de investigación en crítica literaria I,5
2026450,Seminario de investigación en crítica literaria II,5
2026451,Seminario de investigación en géneros literarios I,5
2026452,Seminario de investigación en géneros literarios II,5
2026455,Seminario de investigación en literatura colombiana I,5
2026456,Seminario de investigación en literatura colombiana II,5
2026457,Seminario de investigación en literatura comparada I,5
2026458,Seminario de investigación en literatura comparada II,5
2026460,Seminario de investigación en literatura del caribe II,5
2026461,Seminario de investigación en literatura europea I,5
2026462,Seminario de investigación en literatura europea II,5
2026463,Seminario de investigación en literatura latinoamericana I,5
2026465,Seminario de investigación en literaturas contemporáneas I,5
2026466,Seminario de investigación en literaturas contemporáneas II,5
2026467,Seminario de investigación en novela I,5
2026468,Seminario de investigación en novela II,5
2026471,Seminario de investigación en teoría literaria I,5
2026472,Seminario de investigación en teoría literaria II,5
2012622,Seminario de profundizacion: hermeneutica literaria ii,5
2026473,Seminario e investigación en literatura latinoamericana II,5
2015809,Sociedad colombiana siglo XIX,3
2015810,Sociedad colombiana siglo XX,3
2025462,Sófocles,3
2017470,Tendencias actuales de la teoría literaria,3
2017413,Tendencias recientes en la narrativa latinoamericana,3
2017769,Trabajo de Grado,6
2017770,Trabajo de Grado - Asignaturas de Posgrado,6
2025466,William Shakespeare,3
2016428,Alemán I - Comunicación Escrita,4
2016429,Alemán I - Comunicación Oral,4
2016433,Alemán III - Comunicación Oral,4
2016430,Alemán II - Comunicación Escrita,4
2016431,Alemán II - Comunicación Oral,4
2016432,Alemán III - Comunicación Escrita,4
2016434,Alemán IV - Comunicación Escrita,4
2016435,Alemán IV - Comunicación Oral,4
2016436,Alemán V - Comunicación Escrita,3
2016437,Alemán V - Comunicación Oral,3
2016438,Alemán VI - Comunicación Escrita,3
2016439,Alemán VI - Comunicación Oral,3
2016441,Civilización Alemana I,3
2016440,Civilización Alemana II,3
2016442,Didáctica Alemana I,3
2016443,Didáctica Alemana II,3
2016444,Fonética y Fonología Alemana,3
2016382,Fundamentos de la Educación,2
2016445,Gramática Alemana I,3
2016446,Gramática Alemana II,3
2015374,Historia de la Lengua Alemana,2
1000044-B,Inglés I- Semestral,3
1000048-B,Inglés I- Virtual,3
1000045-B,Inglés II - Semestral,3
1000049-B,Inglés II - Virtual,3
1000046-B,Inglés III - Semestral,3
1000050-B,Inglés III- Virtual,3
1000052-B,Inglés Intensivo I y II,6
1000053-B,Inglés Intensivo III y IV,6
1000047-B,Inglés IV- Semestral,3
1000051-B,Inglés IV- Virtual,3
2015460,Introducción a la Literatura,3
1000002-B,Lecto-Escritura,4
2015466,Lingüística general,3
2016448,Literatura Alemana I,3
2016447,Literatura Alemana II,3
1000001-B,Matemáticas Básicas,4
2016427,Metodología de la Investigación,3
2015991,Modelos Lingüísticos,3
2016386,Morfosintaxis Española I,3
2016387,Morfosintaxis Española II,3
2016449,Práctica Docente del Alemán,4
2016388,Psicología y educación,3
2015480,Semántica,3
2023263,Semianrio Monográfico II - Literatura inglesa,2
2016454,Seminario de Lingüística Alemana,3
2023260,Seminario Monográfico I - Alemán,2
2016413,Seminario Monográfico I - Bilingüismo,2
2016414,Seminario Monográfico I - Español para Extranjeros,2
2016415,Seminario Monográfico I - Evaluación,2
2016419,Seminario Monográfico II - Español para Extranjeros,2
2016420,Seminario Monográfico II - Evaluación,2
2016421,Seminario Monográfico II - Investigación en el Aula,2
2024894,Seminario Monográfico II - Pedagogía de la Autonomía y Desarrollo del Pensamiento,2
2015998,Sociolinguística,3
2015484,Textolingüística,3
2016667,Trabajo de Grado,6
2016668,Trabajo de Grado - Asignaturas de Posgrado,6
2016456,Traducción Alemana I,3
2016455,Traducción Alemana II,3
2016394,Civilización Francesa I,3
2022660,Comprensión de textos en idioma extranjero,12
2016396,Didáctica Francesa II,3
2016395,Didáctica Francesa I,3
1000095,Examen de clasificación en inglés,0
2016397,Fonética y Fonología Francesa,3
2015322,Francés I Comunicación Escrita,4
2015323,Francés I Comunicación Oral,4
2016398,Francés II Comunicación Escrita,4
2016399,Frances II-Comunicación Oral,4
2016400,Frances III-Comunicación Escrita,4
2016401,Francés III-Comunicación Oral,4
2016402,Francés IV Comunicación Escrita,4
2016403,Francés IV Comunicación Oral,4
2016405,Francés V- Comunicación Oral,3
2016404,Francés V Comunicación Escrita,3
2015324,Frances VI- Comunicación Escrita,3
2015325,Francés VI-Comunicación Oral,3
2016382,Fundamentos de la Educación,2
2004538,Fundamentos de la educacion,2
2016406,Gramática Francesa I,3
2003995,Gramatica francesa II,3
2016407,Gramática Francesa II,3
2016408,Historia de la Lengua Francesa,2
2004000,Historia lengua francesa,2
1000044-B,Inglés I- Semestral,3
1000048-B,Inglés I- Virtual,3
1000045-B,Inglés II - Semestral,3
1000049-B,Inglés II - Virtual,3
2023925,Inglés II- Intensivo,3
1000046-B,Inglés III - Semestral,3
1000050-B,Inglés III- Virtual,3
1000052-B,Inglés Intensivo I y II,6
1000053-B,Inglés Intensivo III y IV,6
2023927,Inglés IV- intensivo,3
1000047-B,Inglés IV- Semestral,3
1000051-B,Inglés IV- Virtual,3
2015460,Introducción a la Literatura,3
1000002-B,Lecto-Escritura,4
2015466,Lingüística general,3
2016409,Literatura Francesa I,3
2015343,Literatura Francesa III,3
2006705,Literatura francesa i,3
2016410,Literatura Francesa II,3
2006706,Literatura francesa ii,3
2006707,Literatura francesa iii,3
1000001-B,Matemáticas Básicas,4
2003737,Metodologia de la investigacion,3
2016427,Metodología de la Investigación,3
2015991,Modelos Lingüísticos,3
2016386,Morfosintaxis Española I,3
2016387,Morfosintaxis Española II,3
2016411,Práctica Docente del Francés,4
2016388,Psicología y educación,3
2015480,Semántica,3
2016424,Seminario de Lingüística Francesa,3
2016413,Seminario Monográfico I - Bilingüismo,2
2016414,Seminario Monográfico I - Español para Extranjeros,2
2016415,Seminario Monográfico I - Evaluación,2
2016417,Seminario Monográfico I - Tecnologías de la Información y la Comunicación en francés,2
2016412,Seminario Monográfico I - Traducción Francesa,2
2016418,Seminario Monográfico II- Bilingüismo,2
2016419,Seminario Monográfico II - Español para Extranjeros,2
2016420,Seminario Monográfico II - Evaluación,2
2016421,Seminario Monográfico II - Investigación en el Aula,2
2024894,Seminario Monográfico II - Pedagogía de la Autonomía y Desarrollo del Pensamiento,2
2016422,Seminario Monográfico II - Tecnologías de la Información y la Comunicación en francés,2
2015998,Sociolinguística,3
2002797,Sociolinguistica,3
2021185,Suficiencia por Acogimiento al Acuerdo 032,12
2015484,Textolingüística,3
2015370,Trabajo de Grado,6
2015371,Trabajo de grado - Asignaturas de postgrado,6
2004251,Traduccion francesa I,3
2016426,Traducción Francesa I,3
2016425,Traducción Francesa II,3
2016457,Civilización Inglesa I,3
2016458,Civilización Inglesa II,3
2016459,Didáctica Inglesa I,3
2016460,Didáctica Inglesa II,3
2016461,Fonética y Fonología Inglesa,3
2016382,Fundamentos de la Educación,2
2016462,Gramática Inglesa I,3
2016463,Gramática Inglesa II,3
2016464,Historia de la Lengua Inglesa,2
2016465,Inglés I - Comunicación Escrita,4
2016466,Inglés I - Comunicación Oral,4
2016467,Inglés II - Comunicación Escrita,4
2016468,Inglés II - Comunicación Oral,4
2016469,Inglés III - Comunicación Escrita,4
2016470,Inglés III - Comunicación Oral,4
2016471,Inglés IV- Comunicación Escrita,4
2016472,Inglés IV- Comunicación Oral,4
2016473,Inglés V - Comunicación Escrita,3
2016474,Inglés V - Comunicación Oral,3
2016475,Inglés VI - Comunicación Escrita,3
2016476,Inglés VI - Comunicación Oral,3
2015460,Introducción a la Literatura,3
1000002-B,Lecto-Escritura,4
2015466,Lingüística general,3
2016477,Literatura Inglesa I,3
2016478,Literatura Inglesa II,3
1000001-B,Matemáticas Básicas,4
2016427,Metodología de la Investigación,3
2016386,Morfosintaxis Española I,3
2016387,Morfosintaxis Española II,3
2016480,Práctica Docente del Inglés,4
2016388,Psicología y educación,3
2015480,Semántica,3
2023263,Semianrio Monográfico II - Literatura inglesa,2
2016392,Seminario de lingüística inglesa,3
2016414,Seminario Monográfico I - Español para Extranjeros,2
2016415,Seminario Monográfico I - Evaluación,2
2016482,Seminario Monográfico I - Traducción inglesa,2
2016419,Seminario Monográfico II - Español para Extranjeros,2
2016420,Seminario Monográfico II - Evaluación,2
2016421,Seminario Monográfico II - Investigación en el Aula,2
2024894,Seminario Monográfico II - Pedagogía de la Autonomía y Desarrollo del Pensamiento,2
2015998,Sociolinguística,3
2015484,Textolingüística,3
2016840,Trabajo de Grado,6
2016841,Trabajo de Grado - Asignaturas de PosgradoTrabajo de Grado - Asignaturas de Posgrado,6
2016485,Traducción Inglesa I,3
2016486,Traducción Inglesa II,3
2022834,Asignatura genérica,3
2017547,CFA Aristóteles,3
2017549,CFA Aristóteles filosofia práctica,3
2017548,CFA Aristóteles filosofia teórica,3
2017551,CFA Estética antigua I,3
2017553,CFA Ética antigua I,3
2017556,CFA Filosofía medieval I,3
2017557,CFA Filosofía medieval II,3
2017558,CFA Filosofía política antigua I,3
2017559,CFA Filosofía política antigua II,3
2017560,CFA Filosofía política medieval,3
2017563,CFA Platón II,3
2017552,CFA Platón III,3
2025278,CFA Presocráticos II,3
2017568,CFA Problemas filosóficos antiguos I,3
2017570,CFC Epistemología contemporánea I,3
2017572,CFC Escepticismo contemporáneo,3
2017573,CFC Estética contemporánea I,3
2017606,CFC Estética contemporánea II,3
2017574,CFC Ética contemporánea I,3
2017577,CFC Fenomenología II,3
2017578,CFC Filosofía alemana I,3
2017581,CFC Filosofía de la biología,3
2017582,CFC Filosofía de la ciencia I,3
2017583,CFC Filosofía de la ciencia II,3
2017586,CFC Filosofía de la mente II,3
2025304,CFC Filosofía de la percepción,3
2017596,CFC Filosofía de la psicología,3
2017587,CFC Filosofía de las ciencias sociales,3
2017588,CFC Filosofía del lenguaje I,3
2017589,CFC Filosofía del lenguaje II,3
2017591,CFC Filosofía francesa II,3
2017592,CFC Filosofía política contemporánea I,3
2017593,CFC Filosofía política contemporánea II,3
2017594,CFC Filosofía y literatura,3
2017595,CFC Filosofía y psicoanálisis,3
2017612,CFC Filósofos contemporáneos I,3
2017613,CFC Filósofos contemporáneos II,3
2017584,CFC Frege,3
2017599,CFC Hannah Arednt,3
2017601,CFC Heidegger II,3
2017602,CFC Hermenéutica I,3
2017609,CFC Modernidad y postmodernidad II,3
2017610,CFC Pragmatismo I,3
2017615,CFC Problemas filosóficos contemporáneos II,3
2017616,CFC Wittgenstein I,3
2017617,CFC Wittgenstein II,3
2017618,CFM Berkeley,3
2017620,CFM Descartes II,3
2017621,CFM Empirismo I,3
2017623,CFM Epistemología moderna I,3
2017624,CFM Estética moderna I,3
2017626,CFM Filosofía política moderna I,3
2025285,CFM Filósofos modernos I,3
2017627,CFM Hegel I,3
2017628,CFM Hegel II,3
2017629,CFM Hobbes,3
2017630,CFM Hume,3
2017631,CFM Kant,3
2017635,CFM Kant estética,3
2017632,CFM Kant filosofía teórica,3
2017634,CFM Leibniz,3
2017638,CFM Marx II,3
2017639,CFM Nietzsche I,3
2017641,CFM Racionalismo I,3
2017644,CFM Schopenhauer,3
2017645,CFM Spinoza I,3
2022660,Comprensión de textos en idioma extranjero,12
2017550,Curso de filosofía antigua,3
1000095,Examen de clasificación en inglés,0
1000049-B,Inglés II - Virtual,3
1000046-B,Inglés III - Semestral,3
1000050-B,Inglés III- Virtual,3
2024731,Inglés intensivo I,3
1000052-B,Inglés Intensivo I y II,6
2023927,Inglés IV- intensivo,3
1000002-B,Lecto-Escritura,4
2024747,Lógica I,4
2024749,Lógica II,4
2024750,Lógica III,4
2017652,Preseminario,4
2017653,Propedéutica,4
2017654,SFA Aristóteles,4
2017656,SFA Aristóteles filosofía práctica,4
2025279,SFA Epistemología antigua I,4
2017659,SFA Estética antigua I,4
2017663,SFA Estética antigua II,4
2017661,SFA Ética antigua I,4
2017658,SFA Ética antigua II,4
2017662,SFA Filosofía antigua I,4
2017657,SFA Filosofía antigua II,4
2017678,SFA Filosofía helenística I,4
2017679,SFA Filosofía helenística II,4
2017664,SFA Filosofía medieval I,4
2017665,SFA Filosofía medieval II,4
2017668,SFA Filosofía medieval II,4
2017666,SFA Filosofía política antigua I,4
2017669,SFA Platón I,4
2017671,SFA Platón III,4
2017675,SFA Sócrates,4
2017680,SFC Epistemología contemporánea I,4
2017681,SFC Epistemología contemporánea II,4
2017684,SFC Estética contemporánea I,4
2017685,SFC Estética contemporánea II,4
2017715,SFC Estructuralismo y postestructuralismo,4
2017687,SFC Ética contemporánea II,4
2017730,SFC Filosofía alemana I,4
2017731,SFC Filosofía alemana II,4
2017729,SFC Filosofía analítica II,4
2017722,SFC Filosofía contemporánea I,4
2017723,SFC Filosofía contemporánea II,4
2017690,SFC Filosofía de la ciencia I,4
2017691,SFC Filosofía de la ciencia II,4
2017692,SFC Filosofía de la mente I,4
2017693,SFC Filosofía de la mente II,4
2017703,SFC Filosofía de la percepción,4
2017694,SFC Filosofía de las ciencias sociales I,4
2017696,SFC Filosofía del lenguaje I,4
2017698,SFC Filosofía francesa I,4
2017700,SFC Filosofía política contemporánea I,4
2017701,SFC Filosofía política contemporánea II,4
2017713,SFC Filosofía y ciencia cognitiva,4
2017720,SFC Filosofía y psicoanálisis,4
2017716,SFC Filósofos contemporáneos II,4
2017734,SFC Frege,4
2017704,SFC Gadamer,4
2017706,SFC Hannah Arendt,4
2017707,SFC Heidegger I,4
2017708,SFC Heidegger II,4
2017709,SFC Hermenéutica I,4
2017712,SFC Husserl II,4
2017728,SFC Metafísica contemporánea II,4
