asi_codigo,asi_nombre,asi_creditos
2017328,Modelación Avanzada,2
2017329,Multimedia - Medios Interactivos Digitales,2
2017330,Observatorio de diseño I,4
2017331,Observatorio de diseño II,4
2017332,Observatorio de diseño III,4
2017333,Observatorio de diseño IV,4
2024273,Observatorio de Diseño V,4
2024274,Observatorio de diseño VI,4
2024275,Observatorio de Diseño VII,4
2024605,Observatorio de diseño VIIIObservatorio de diseño VIII,8
2017334,Pensamiento sistémico,2
2017335,Perfil Ambiental,2
2017336,Práctica proyectual I,3
2017337,Práctica proyectual II,3
2017338,Práctica proyectual III,3
2018049,Canto complementario I,3
2018050,Canto complementario II,3
2018051,Canto complementario III,3
2018052,Canto complementario IV,3
2018059,Complementaria historia de la música I,3
2026832,Composición experimental I,2
2026833,Composición experimental II,2
2018063,Composición I,4
2018064,Composición II,4
2018065,Composición III,4
2018066,Composición IV,4
2004223,Conjunto acompanamiento i,4
2000275,Conjunto banda i,4
2008680,Conjunto cobres ii,4
2010030,Conjunto coro,2
2010047,Conjunto i - coro,2
2008715,Conjunto musica andina ii,4
2008717,Conjunto musica andina iv,4
2008718,Conjunto musica andina v,4
2000255,Conjunto musica de camara ii,4
2000257,Conjunto musica de camara iv,2
2008654,Conjunto orquesta viii,4
2000815,Conjunto percusion i,4
2010109,Conjunto trio s.manolov,2
2002764,Conjunto vocal de camara i,4
2018068,Contrapunto I,2
2018069,Contrapunto II,2
2018070,Contrapunto III,2
2018156,Coro universitario I,2
2018157,Coro universitario II,2
2018158,Coro universitario III,2
2018159,Coro universitario IV,2
2018072,Dirección I,4
2018073,Dirección II,4
2018074,Dirección III,4
2018075,Dirección IV,4
2018078,Ensamble de Jazz I,3
2018079,Ensamble de Jazz II,3
2018080,Ensamble de Jazz III,3
2018081,Ensamble de Jazz IV,3
2026836,Ensamble de jazz V,3
2021444,Ensamble música antigua I,3
2021445,Ensamble música antigua II,3
2021446,Ensamble música antigua III,3
2021447,Ensamble música antigua IV,3
2018088,Formación musical en el contexto nacional,3
2018089,Fundamentación en dirección I,3
2018090,Fundamentación en dirección II,3
2018093,Fundamentación en Jazz,3
2018097,Fundamentación psicosocial,3
2016072,Gestión cultural y empresarial en las artes,3
2018099,Gimnasia consciente I,2
2018100,Gimnasia consciente II,2
2018101,Gramática aplicada al instrumento,3
2018102,Gramática avanzada I,3
2018103,Gramática avanzada II,3
2016073,Herencias - Una mirada a la historia de las artes,3
2018110,Historia de la música I,2
2018189,Acompañamiento I,2
2018190,Acompañamiento II,2
2018191,Acompañamiento III,2
2026963,Acompañamiento III,3
2026964,Acompañamiento IV,3
2018192,Acompañamiento IV,2
2018193,Acompañamiento V,2
2026965,Acompañamiento V,3
2018194,Acompañamiento VI,2
2026966,Acompañamiento VI,3
2021214,Arpa I,6
2021215,Arpa II,6
2021216,Arpa III,6
2021217,Arpa IV,6
2021218,Arpa V,6
2021219,Arpa VI,7
2021220,Arpa VII,7
2021221,Arpa VIII,7
2018154,Arte escénico I,1
2018155,Arte escénico II,1
2018049,Canto complementario I,3
2018050,Canto complementario II,3
2018051,Canto complementario III,3
2018052,Canto complementario IV,3
2021222,Canto I,6
2021223,Canto II,6
2021224,Canto III,6
2021225,Canto IV,6
2021226,Canto V,6
2021227,Canto VI,7
2021228,Canto VII,7
2021229,Canto VIII,7
2021452,Clarinete I,6
2021453,Clarinete II,6
2021454,Clarinete III,6
2021455,Clarinete IV,6
2021456,Clarinete V,6
2021457,Clarinete VI,7
2021458,Clarinete VII,7
2021459,Clarinete VIII,7
2026832,Composición experimental I,2
2026833,Composición experimental II,2
2021230,Contrabajo I,6
2021231,Contrabajo II,6
2021232,Contrabajo III,6
2021233,Contrabajo IV,6
2021234,Contrabajo V,6
2021235,Contrabajo VI,7
2021236,Contrabajo VII,7
2021237,Contrabajo VIII,7
2018070,Contrapunto III,2
2018071,Contrapunto IV,2
2021460,Corno I,6
2021461,Corno II,6
2021462,Corno III,6
2021463,Corno IV,6
2021464,Corno V,6
2021465,Corno VI,7
1000003-B,Álgebra Lineal,4
2017781,Análisis multivariante,3
2017771,Análisis y modelación de sistemas biológicos,3
2017516,Artrópodos,4
2027828,Biodiversidad y servicios ecosistémicos,4
1000012-B,Bioestadística fundamental,3
2017783,Biogeografía,3
2017772,Biología animal,4
2017522,Biología celular,4
2017533,Biología de hongos y líquenes,3
2027218,Biología de macroalgas marinas,4
2017773,Biología de microorganismos,4
2015877,Biología de plantas,4
2017534,Biología de protistos y algas,3
2025432,Biología de reptiles escamados,3
2017524,Biología del Desarrollo,4
2017774,Biología evolutiva,4
2017523,Biología Molecular,4
2017775,Biologia molecular de la célula,4
1000004-B,Cálculo diferencial,4
1000005-B,Cálculo Integral,4
2017776,Ciencias de la tierra,3
2015516,Climatología,3
2017792,Conservación genética,3
2015345,Derecho Ambiental,3
2017535,Diseño Experimental,4
2017777,Ecología,4
2017527,Ecología regional continental,4
2017536,Embriófitos basales,3
2016343,Español funcional,3
2017537,Espermatófitos,4
2016365,Estadística descriptiva multivariada,4
2017804,Etología,3
2017528,Evolución,4
1000037-B,Fisicoquímica I,3
2017517,Fisiología animal,4
2025433,Fisiología animal de sistemas,4
2017806,Fisiología del crecimiento y desarrollo vegetal,3
2017538,Fisiología vegetal,4
2017808,Floristica y fitogeografía,3
1000022-B,Fluidos y electromagnetismo para biociencias,4
2024393,Formulación y gerencia de proyectos,4
2015233,Fotointerpretación,3
2017529,Fundamentos de biología y ecología marina,4
2026821,Fundamentos de ecologia de comunidades,4
2026822,Fundamentos de ecologia de ecosistemas,4
2026823,Fundamentos de ecologia de poblaciones,4
2026824,Fundamentos de ecologia del paisaje,4
1000017-B,Fundamentos de electricidad y magnetismo,4
2017778,Fundamentos de investigación,2
2017779,Genética,4
2017530,Genética de poblaciones,4
2027827,Genética molecular,4
2015238,Geografía física,4
2023215,Geología general,4
2017540,Gestión de proyectos,4
2017817,Histología animal,3
